hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD183,Ruins Luxury Resort,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD189,The Bodrum EDITION,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
