hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD061,Gümbet Anıl Beach,2,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,NOISE,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,FAMILY_CHILDREN,2,100.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,MANAGEMENT_COMMUNICATION,2,100.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,SAFETY_SECURITY,0,0.0,True,LOW_SAMPLE
BOD067,Sami Beach Hotel,6,STAFF_SERVICE,4,66.66666666666667,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,CLEANLINESS_HYGIENE,3,50.0,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,FOOD_BEVERAGE,2,33.333333333333336,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,ROOM,3,50.0,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,BEACH_SEA,2,33.333333333333336,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,POOL,0,0.0,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,FACILITIES_MAINTENANCE,1,16.666666666666668,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,RESERVATION,5,83.33333333333333,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,PAYMENT_REFUND,4,66.66666666666667,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,PRICE_VALUE,3,50.0,False,MEDIUM_SAMPLE
BOD067,Sami Beach Hotel,6,CHECKIN_CHECKOUT,0,0.0,False,MEDIUM_SAMPLE
